Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,custom home builder near me,custom home,,,,,4400,21,3.64,0.41,322000000,Transactional,"Related Searches, AI Overview, Local Pack, Video, Image, People Also Ask","0.15,0.23,0.23,0.19,0.29,0.66,0.66,0.36,0.29,0.19,0.29,0.23",90,,
us,custom built homes near me,custom home,,,,,1000,14,2.80,0.89,53,Transactional,"Local Pack, Related Searches","0.30,0.55,0.62,0.81,0.81,1.00,1.00,0.55,0.36,0.30,0.30,0.30",90,,
us,how long does it take to build a custom home,custom home,,,,,720,11,2.40,0.08,0,Informational,"Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.20,0.20,0.24,0.30,0.30,0.76,1.00,0.76,0.76,0.67,0.67,0.55",20,,
us,how much does it cost to build a custom home,custom home,,,,,480,6,1.51,0.45,157,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.32,0.39,0.32,0.32,0.21,1.00,0.88,0.72,0.39,0.39,0.26,0.21",20,,
us,how much to build a custom home,custom home,,,,,210,3,1.55,0.09,697000000,Informational,"AI Overview, Site Links, Video, Video Carousel, Related Searches, Discussions And Forums","0.35,0.35,0.23,0.35,0.35,0.82,0.82,0.66,0.66,0.82,1.00,0.53",20,,
us,how much to build custom home,custom home,,,,,210,28,1.32,0.07,703000000,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.15,0.08,0.11,0.18,0.23,0.35,0.35,0.66,0.81,1.00,0.66,0.66",20,,
us,custom home builders,custom home,,,,,12100,59,3.16,0.17,85000000,Commercial,"Local Pack, Video, People Also Ask, Related Searches","0.16,0.44,0.29,0.29,0.24,0.54,0.54,0.36,0.29,0.36,0.36,0.36",90,,
us,custom homes,custom home,,,,,8100,59,2.42,0.43,226000000,Commercial,"Video, Image, Adwords Bottom, People Also Ask, Related Searches, Things To Know, Local Pack, Image Pack","0.44,0.36,0.36,0.44,0.44,0.81,0.81,0.54,0.44,0.44,0.44,0.44",75,,
us,custom home,custom home,,,,,3600,46,2.42,0.43,2560000000,Commercial,"Popular Products, Related Searches, Local Pack, Image Pack, Video, Image, People Also Ask","0.19,0.24,0.24,0.19,0.36,0.36,0.24,0.24,0.16,0.24,0.19,0.19",75,,
us,how to choose a custom home builder,custom home,,,,,170,0,2.88,0.23,217000000,Informational,"AI Overview, Site Links, Video, Video Carousel, Related Searches, Discussions And Forums","0.10,0.23,0.23,0.23,0.23,0.82,1.00,0.53,0.43,0.28,0.43,0.35",,,
us,how much is a custom built home,custom home,,,,,170,13,1.55,0.09,182,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.23,0.23,0.23,0.23,0.17,0.43,0.28,0.53,1.00,0.66,0.66,0.53",20,,
us,how much does a custom built home cost,custom home,,,,,170,23,1.56,0.40,387000000,Informational,"AI Overview, Site Links, Video, People Also Ask, Related Searches","0.43,0.54,0.43,0.43,0.29,0.29,0.43,0.22,0.29,0.29,0.29,0.29",20,,
us,custom home builders cincinnati,cincinnati custom home,,,,,390,49,3.64,0.71,0,Commercial,"Site Links, Video, Related Searches, Discussions And Forums, Local Pack","0.23,0.29,0.29,0.44,0.23,0.44,0.67,0.54,0.67,0.67,0.54,0.54",20,,
us,custom built homes cincinnati,cincinnati custom home,,,,,260,36,3.48,0.70,0,Commercial,"Video, Related Searches, Local Pack","0.12,0.23,0.54,0.36,0.67,0.15,0.15,1.00,0.12,0.03,0.15,0.05",90,,
us,custom homes cincinnati,cincinnati custom home,,,,,210,36,2.63,0.70,0,Commercial,"Site Links, Video, Image, Related Searches, Local Pack","0.34,0.43,0.43,0.28,0.28,0.81,1.00,1.00,1.00,0.81,0.81,0.81",20,,
us,custom home builder cincinnati,cincinnati custom home,,,,,140,44,3.48,0.70,1910000,Commercial,"Local Pack, Video, Image, Related Searches","0.15,0.21,0.21,0.34,0.28,0.81,0.65,0.65,0.43,0.53,0.53,0.34",90,,
us,custom home builders cincinnati ohio,cincinnati custom home,,,,,140,42,3.64,0.71,804000,Commercial,"Video, Image, Related Searches, Local Pack, Site Links","0.80,0.80,0.34,0.34,0.26,0.80,0.65,0.65,0.65,0.53,0.42,0.42",20,,
us,cincinnati custom home builder,cincinnati custom home,,,,,110,41,3.48,0.70,0,Commercial,"Video, Image, Related Searches, Local Pack, Site Links","0.09,0.19,0.19,0.19,0.19,0.52,0.80,0.80,1.00,1.00,1.00,1.00",20,,
us,cincinnati custom home builders,cincinnati custom home,,,,,110,42,3.48,0.70,64,Commercial,"Video, Image, Related Searches, Local Pack, Site Links","0.17,0.17,0.17,0.17,0.12,0.53,0.43,0.35,0.43,0.35,0.35,0.43",20,,
us,a build a home,home builder,,,,,1000,48,0.00,0.00,3070000000,"Informational, Transactional","Knowledge Panel, Video, Featured Video, Related Searches, Discussions And Forums","0.81,0.81,1.00,0.81,1.00,0.06,0.45,0.62,0.62,1.00,1.00,0.81",30,,
us,how much to build a home,home builder,,,,,590,35,1.32,0.41,163,Informational,"Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links","0.55,0.55,0.55,0.55,0.36,0.55,0.45,0.30,0.24,0.30,0.36,0.36",20,,
us,how much does building your own home cost,home builder,,,,,480,42,1.57,0.39,2310000000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","1.00,0.08,0.20,0.16,0.36,0.08,0.55,0.67,0.55,0.03,0.13,0.08",20,,
us,how much does it cost to build a house,build house,,,,,22200,31,1.29,0.39,4520000000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Related Searches","0.54,0.66,0.66,0.54,0.66,0.54,0.44,0.44,0.36,0.36,0.36,0.36",20,,
