Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,kitchen remodel,kitchen remodel,,,,,49500,60,7.71,0.46,39300,Commercial,"Local Pack, Image Pack, Video, Video Carousel, Popular Products, Related Searches, Things To Know","0.44,0.44,0.54,0.81,0.44,0.81,0.81,0.66,0.54,0.81,0.54,0.81",75,,
us,kitchen remodel cost,kitchen remodel,,,,,12100,44,3.57,0.34,35400000,Informational,"Related Searches, AI Overview, Site Links, Video, Adwords Bottom, Video Carousel","0.66,0.36,0.54,0.44,0.66,0.54,0.36,0.36,0.36,0.36,0.44,0.44",20,,
us,kitchen remodel near me,kitchen remodel,,,,,18100,57,11.36,0.29,41100000,Transactional,"Related Searches, Adwords Middle, AI Overview, Local Pack, Video, Adwords Top","0.67,1.00,0.54,0.44,0.44,0.81,0.81,0.54,0.36,0.29,0.36,0.54",90,,
us,kitchen remodeling near me,kitchen remodel,,,,,18100,57,11.36,0.29,33300000,Transactional,"Local Pack, Video, Adwords Bottom, Related Searches, AI Overview","0.81,0.44,0.36,0.36,0.29,0.54,0.67,0.81,0.54,0.24,0.44,0.36",90,,
us,kitchen remodeling,kitchen remodel,,,,,33100,62,7.71,0.46,89900000,Commercial,"Related Searches, Things To Know, Local Pack, Video","0.30,0.36,0.44,0.36,0.44,1.00,0.66,0.44,0.30,0.20,0.36,0.36",75,,
us,kitchen remodel contractors,kitchen remodel,,,,,9900,50,13.59,0.04,12900000,Commercial,"People Also Ask, Related Searches, Local Pack, Site Links, Video","0.24,0.36,0.29,0.44,0.81,0.81,0.81,1.00,1.00,0.54,0.44,0.36",20,,
us,kitchen remodel and cost,kitchen remodel,,,,,8100,35,3.57,0.34,129,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links","0.54,1.00,0.66,0.81,0.66,0.44,0.44,0.29,0.29,0.19,0.24,0.36",20,,
us,kitchen remodel contractor,kitchen remodel,,,,,6600,42,13.59,0.04,163,Commercial,"Local Pack, Video, Related Searches","0.66,0.44,0.24,0.54,0.54,0.44,0.54,0.36,0.19,1.00,0.54,0.36",90,,
us,kitchen remodeler,kitchen remodel,,,,,6600,53,7.71,0.46,66100000,Commercial,"Related Searches, Local Pack, Image Pack, Video, Image","0.36,0.44,0.54,0.44,0.19,0.54,1.00,0.44,0.44,0.24,0.29,0.36",75,,
us,small kitchen remodel,kitchen remodel,,,,,6600,24,2.70,0.99,59000000,Informational,"Related Searches, Things To Know, AI Overview, Site Links, Video, Image","0.44,0.44,0.54,0.44,0.44,0.66,0.66,0.54,0.44,0.44,0.44,0.54",20,,
